@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
282,'2018/02/20 20:09:35:961',2,43.10524,10.349887,-0.004982,0.9,?,?
283,'2018/02/20 20:09:35:991',2,43.100109,10.404774,-0.005131,0.9,?,?
284,'2018/02/20 20:09:36:025',2,43.094757,10.447992,-0.005352,0.9,?,?
285,'2018/02/20 20:09:36:058',2,43.089466,10.482207,-0.005291,0.9,?,?
286,'2018/02/20 20:09:36:089',2,43.084339,10.509603,-0.005127,0.9,?,?
287,'2018/02/20 20:09:36:125',2,43.079491,10.531707,-0.004848,0.9,?,?
288,'2018/02/20 20:09:36:160',2,43.074684,10.549577,-0.004807,0.9,?,?
289,'2018/02/20 20:09:36:192',2,43.070114,10.564985,-0.00457,0.9,?,?
290,'2018/02/20 20:09:36:225',2,43.065739,10.577838,-0.004375,0.9,?,?
291,'2018/02/20 20:09:36:258',2,43.061665,10.589855,-0.004074,0.9,?,?
292,'2018/02/20 20:09:36:289',2,43.057892,10.600889,-0.003773,0.9,?,?
293,'2018/02/20 20:09:36:326',2,43.054493,10.611723,-0.003399,0.9,?,?
294,'2018/02/20 20:09:36:373',2,43.051399,10.621542,-0.003094,0.9,?,?
295,'2018/02/20 20:09:36:411',2,43.046371,10.629307,-0.005028,0.9,?,?
296,'2018/02/20 20:09:36:439',2,43.041611,10.636522,-0.004761,0.9,?,?
297,'2018/02/20 20:09:36:461',2,43.037052,10.642979,-0.004559,0.9,?,?
298,'2018/02/20 20:09:36:490',2,43.032909,10.649292,-0.004143,0.9,?,?
299,'2018/02/20 20:09:36:525',2,43.02903,10.65509,-0.00388,0.9,?,?
300,'2018/02/20 20:09:36:558',2,43.025421,10.660493,-0.003609,0.9,?,?
301,'2018/02/20 20:09:36:603',2,43.020508,10.664833,-0.004913,0.9,?,?
302,'2018/02/20 20:09:36:626',2,43.014889,10.668811,-0.005619,0.9,?,?
303,'2018/02/20 20:09:36:657',2,43.01001,10.672673,-0.004879,0.9,?,?
